category,local_id,source_offset,runtime_address,display_name,confidence
attack-rings,40,0x0007B178,0x0807B178,Sonic Tiger,confirmed
attack-rings,41,0x0007B17C,0x0807B17C,Cross Attacker,confirmed
attack-rings,42,0x0007B180,0x0807B180,Cybernetic Dragon,confirmed
attack-rings,43,0x0007B184,0x0807B184,Ten Spike,confirmed
attack-rings,44,0x0007B188,0x0807B188,Spike Dragoon,confirmed
attack-rings,45,0x0007B18C,0x0807B18C,Dragoon Saucer,confirmed
attack-rings,46,0x0007B190,0x0807B190,Ultimate Attacker,confirmed
attack-rings,47,0x0007B194,0x0807B194,G Upper,confirmed
attack-rings,48,0x0007B198,0x0807B198,Triple Tiger,confirmed
attack-rings,49,0x0007B19C,0x0807B19C,Upper Claws,confirmed
attack-rings,50,0x0007B1A0,0x0807B1A0,Knight Claw Ring,confirmed
attack-rings,51,0x0007B1A4,0x0807B1A4,Strike Turtle,confirmed
attack-rings,52,0x0007B1A8,0x0807B1A8,Metal Defender,confirmed
attack-rings,53,0x0007B1AC,0x0807B1AC,Whale Crusher,confirmed
attack-rings,54,0x0007B1B0,0x0807B1B0,War Lion,confirmed
attack-rings,55,0x0007B1B4,0x0807B1B4,War Monkey,confirmed
attack-rings,56,0x0007B1B8,0x0807B1B8,Wing Upper,confirmed
attack-rings,57,0x0007B1BC,0x0807B1BC,Double Horn,confirmed
attack-rings,58,0x0007B1C0,0x0807B1C0,Holy Despell,confirmed
attack-rings,59,0x0007B1C4,0x0807B1C4,Scissor Attacker,confirmed
attack-rings,60,0x0007B1C8,0x0807B1C8,Wing Survivor,confirmed
attack-rings,61,0x0007B1CC,0x0807B1CC,Star Wolf,confirmed
attack-rings,62,0x0007B1D0,0x0807B1D0,Triangle Wing,confirmed
attack-rings,63,0x0007B1D4,0x0807B1D4,Metal Saucer,confirmed
attack-rings,64,0x0007B1D8,0x0807B1D8,Metal Upper,confirmed
attack-rings,65,0x0007B1DC,0x0807B1DC,Metal Attacker,confirmed
attack-rings,66,0x0007B1E0,0x0807B1E0,Gigantic Claw,confirmed
attack-rings,67,0x0007B1E4,0x0807B1E4,DJ Spiker,confirmed
attack-rings,68,0x0007B1E8,0x0807B1E8,Spiral Upper,confirmed
attack-rings,69,0x0007B1EC,0x0807B1EC,Panther Head,confirmed
attack-rings,70,0x0007B1F0,0x0807B1F0,Jungle Shock,confirmed
attack-rings,71,0x0007B1F4,0x0807B1F4,Howling Leo,confirmed
attack-rings,72,0x0007B1F8,0x0807B1F8,Genocide Circle,confirmed
attack-rings,73,0x0007B1FC,0x0807B1FC,Penta Wing,confirmed
attack-rings,74,0x0007B200,0x0807B200,Triple Peak,confirmed
attack-rings,75,0x0007B204,0x0807B204,Sheild Hammer,confirmed
attack-rings,76,0x0007B208,0x0807B208,Hammer Task,confirmed
blade-bases,0,0x0007B824,0x0807B824,Flat,confirmed
blade-bases,1,0x0007B828,0x0807B828,Sharp,confirmed
blade-bases,2,0x0007B82C,0x0807B82C,Semi-Flat,confirmed
blade-bases,3,0x0007B830,0x0807B830,Grip,confirmed
blade-bases,4,0x0007B834,0x0807B834,Bearing,confirmed
blade-bases,5,0x0007B838,0x0807B838,Auto-Change,confirmed
blade-bases,6,0x0007B83C,0x0807B83C,Metal Ball,confirmed
blade-bases,7,0x0007B840,0x0807B840,Storm Grip,confirmed
blade-bases,8,0x0007B844,0x0807B844,Metal Change,confirmed
blade-bases,9,0x0007B848,0x0807B848,SG Sharp,confirmed
blade-bases,10,0x0007B84C,0x0807B84C,SG Semi-Flat,confirmed
blade-bases,11,0x0007B850,0x0807B850,Metal Sting,confirmed
blade-bases,12,0x0007B854,0x0807B854,SG Flat,confirmed
blade-bases,13,0x0007B858,0x0807B858,Spiral Change,confirmed
blade-bases,14,0x0007B85C,0x0807B85C,SG Bearing,confirmed
blade-bases,15,0x0007B860,0x0807B860,Defense Grip,confirmed
blade-bases,16,0x0007B864,0x0807B864,SG Metal Ball,confirmed
blade-bases,17,0x0007B868,0x0807B868,SG Jumping,confirmed
blade-bases,18,0x0007B86C,0x0807B86C,Full Auto-Clutch,confirmed
blade-bases,19,0x0007B870,0x0807B870,Phantom Grip,confirmed
blade-bases,20,0x0007B874,0x0807B874,Flame Change,confirmed
blade-bases,21,0x0007B878,0x0807B878,Griffolyon Base,confirmed
blade-bases,22,0x0007B87C,0x0807B87C,Fortress,confirmed
blade-bases,23,0x0007B880,0x0807B880,SG Auto-Change,confirmed
blade-bases,24,0x0007B884,0x0807B884,Defense Grip 2,confirmed
blade-bases,25,0x0007B888,0x0807B888,Magne Flat,confirmed
blade-bases,26,0x0007B88C,0x0807B88C,SG Metal Flat,confirmed
blade-bases,27,0x0007B890,0x0807B890,Volcano Change,confirmed
blade-bases,28,0x0007B894,0x0807B894,Jumping Base 2,confirmed
blade-bases,29,0x0007B898,0x0807B898,Viper Metal Ball,confirmed
blade-bases,30,0x0007B89C,0x0807B89C,Fast Clutch Base,confirmed
blade-bases,31,0x0007B8A0,0x0807B8A0,Customize Grip,confirmed
blade-bases,32,0x0007B8A4,0x0807B8A4,Final Clutch Strata,confirmed
blade-bases,33,0x0007B8A8,0x0807B8A8,First Crush Base,confirmed
blade-bases,34,0x0007B8AC,0x0807B8AC,First Base Clutch,confirmed
blade-bases,35,0x0007B8B0,0x0807B8B0,Customize Change,confirmed
blade-bases,36,0x0007B8B4,0x0807B8B4,Custom Metal Ball,confirmed
blade-bases,37,0x0007B8B8,0x0807B8B8,Engine Stopper,confirmed
blade-bases,38,0x0007B8BC,0x0807B8BC,Final Clutch Dranzer G,confirmed
blade-bases,39,0x0007B8C0,0x0807B8C0,Final Crush Base,confirmed
blade-bases,40,0x0007B8C4,0x0807B8C4,Sharp Metal Base,confirmed
blade-bases,41,0x0007B8C8,0x0807B8C8,Final Clutch Base,confirmed
weight-disks,0,0x0007BC28,0x0807BC28,6 Balance,confirmed
weight-disks,1,0x0007BC2C,0x0807BC2C,6 Heavy,confirmed
weight-disks,2,0x0007BC30,0x0807BC30,6 Wide,confirmed
weight-disks,3,0x0007BC34,0x0807BC34,8 Balance,confirmed
weight-disks,4,0x0007BC38,0x0807BC38,8 Heavy,confirmed
weight-disks,5,0x0007BC3C,0x0807BC3C,8 Wide,confirmed
weight-disks,6,0x0007BC40,0x0807BC40,10 Balance,confirmed
weight-disks,7,0x0007BC44,0x0807BC44,10 Heavy,confirmed
weight-disks,8,0x0007BC48,0x0807BC48,10 Wide,confirmed
weight-disks,9,0x0007BC4C,0x0807BC4C,Heavy attack,confirmed
weight-disks,10,0x0007BC50,0x0807BC50,Revolver attack,confirmed
weight-disks,11,0x0007BC54,0x0807BC54,Star attack,confirmed
weight-disks,12,0x0007BC58,0x0807BC58,Wide attack,confirmed
weight-disks,13,0x0007BC5C,0x0807BC5C,Wide defense,confirmed
weight-disks,14,0x0007BC60,0x0807BC60,Wide survivor,confirmed
weight-disks,15,0x0007BC64,0x0807BC64,Magnetic WD,confirmed
weight-disks,16,0x0007BC68,0x0807BC68,Circle Wide,confirmed
weight-disks,17,0x0007BC6C,0x0807BC6C,Circle Heavy,confirmed
weight-disks,18,0x0007BC70,0x0807BC70,Circle Balance,confirmed
